A(32, 51),  B(23, 14), C(69, 54),  P(16, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(17, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(18, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(19, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(20, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(21, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(22, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(23, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(24, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(25, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(26, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(27, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(28, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(29, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(30, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(31, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(32, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(33, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(34, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(35, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(36, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(37, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(38, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(39, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(40, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(41, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(42, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(43, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(44, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(45, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(46, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(47, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(48, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(49, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(50, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(51, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(52, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(53, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(54, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(55, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(56, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(57, 3) = Ponto fora do triangulo
